timestamp,value,is_anomaly
1/1/2023 0:00,45.2,0
1/1/2023 1:00,47.8,0
1/1/2023 2:00,43.1,0
1/1/2023 3:00,41.5,0
1/1/2023 4:00,39.8,0
1/1/2023 5:00,42.3,0
1/1/2023 6:00,48.7,0
1/1/2023 7:00,52.1,0
1/1/2023 8:00,55.9,0
1/1/2023 9:00,58.4,0
1/1/2023 10:00,61.2,0
1/1/2023 11:00,63.8,0
1/1/2023 12:00,65.1,0
1/1/2023 13:00,180.5,1
1/1/2023 14:00,62.9,0
1/1/2023 15:00,60.7,0
1/1/2023 16:00,58.3,0
1/1/2023 17:00,55.8,0
1/1/2023 18:00,53.2,0
1/1/2023 19:00,50.6,0
1/1/2023 20:00,48.1,0
1/1/2023 21:00,45.7,0
1/1/2023 22:00,43.4,0
1/1/2023 23:00,41.8,0
1/2/2023 0:00,44.9,0
1/2/2023 1:00,47.2,0
1/2/2023 2:00,42.8,0
1/2/2023 3:00,40.9,0
1/2/2023 4:00,38.7,0
1/2/2023 5:00,41.8,0
1/2/2023 6:00,47.9,0
1/2/2023 7:00,51.8,0
1/2/2023 8:00,55.2,0
1/2/2023 9:00,57.9,0
1/2/2023 10:00,60.8,0
1/2/2023 11:00,63.1,0
1/2/2023 12:00,64.7,0
1/2/2023 13:00,63.4,0
1/2/2023 14:00,61.9,0
1/2/2023 15:00,59.8,0
1/2/2023 16:00,57.4,0
1/2/2023 17:00,54.9,0
1/2/2023 18:00,52.7,0
1/2/2023 19:00,49.8,0
1/2/2023 20:00,47.3,0
1/2/2023 21:00,44.9,0
1/2/2023 22:00,42.7,0
1/2/2023 23:00,40.8,0
1/3/2023 0:00,43.7,0
1/3/2023 1:00,46.8,0
1/3/2023 2:00,41.9,0
1/3/2023 3:00,39.7,0
1/3/2023 4:00,37.8,0
1/3/2023 5:00,40.9,0
1/3/2023 6:00,46.7,0
1/3/2023 7:00,50.9,0
1/3/2023 8:00,54.8,0
1/3/2023 9:00,57.2,0
1/3/2023 10:00,195.4,1
1/3/2023 11:00,62.7,0
1/3/2023 12:00,64.2,0
1/3/2023 13:00,62.8,0
1/3/2023 14:00,61.2,0
1/3/2023 15:00,59.1,0
1/3/2023 16:00,56.8,0
1/3/2023 17:00,54.2,0
1/3/2023 18:00,51.9,0
1/3/2023 19:00,49.1,0
1/3/2023 20:00,46.8,0
1/3/2023 21:00,44.2,0
1/3/2023 22:00,42.1,0
1/3/2023 23:00,40.3,0
